equipo,partido,jornada,puntos,puntos_acumulados,rival,goles_favor,goles_contra,resultado,resultado_texto,local_visita
Palestino,10,10,3,19,Everton,2,1,2-1,Win,Visita
Palestino,11,11,3,22,Deportes Limache,1,0,1-0,Win,Visita
Palestino,12,12,1,23,Coquimbo Unido,0,0,0-0,Draw,Visita
Palestino,13,13,1,24,Universidad Católica,1,1,1-1,Draw,Local
Palestino,14,14,3,27,Deportes La Serena,2,1,2-1,Win,Local
Palestino,15,15,1,28,Huachipato,2,2,2-2,Draw,Visita
Palestino,16,16,0,28,Cobresal,1,2,1-2,Loss,Visita
Palestino,17,17,3,31,Unión Española,1,0,1-0,Win,Local
Palestino,18,18,1,32,Audax Italiano,1,1,1-1,Draw,Visita
Palestino,19,19,3,35,Deportes Iquique,2,0,2-0,Win,Local
Palestino,20,20,0,35,Ñublense,0,1,0-1,Loss,Visita
Palestino,21,21,1,36,Colo Colo,0,0,0-0,Draw,Local
Palestino,22,22,3,39,Unión La Calera,2,1,2-1,Win,Visita
Palestino,23,23,0,39,O'Higgins,1,2,1-2,Loss,Local
Palestino,24,24,0,39,Universidad de Chile,1,2,1-2,Loss,Visita
Palestino,25,25,3,42,Everton,2,1,2-1,Win,Local
Palestino,26,27,0,42,Coquimbo Unido,1,2,1-2,Loss,Local
Palestino,27,28,0,42,Universidad Católica,1,2,1-2,Loss,Visita
Palestino,28,29,3,45,Deportes La Serena,3,0,3-0,Win,Visita
O'Higgins,1,1,1,1,Huachipato,0,0,0-0,Draw,Local
O'Higgins,2,2,3,4,Colo Colo,1,0,1-0,Win,Visita
O'Higgins,3,4,1,5,Deportes La Serena,1,1,1-1,Draw,Local
O'Higgins,4,5,1,6,Cobresal,0,0,0-0,Draw,Visita
O'Higgins,5,6,3,9,Deportes Limache,3,1,3-1,Win,Local
O'Higgins,6,7,0,9,Audax Italiano,0,1,0-1,Loss,Visita
O'Higgins,7,8,3,12,Palestino,1,0,1-0,Win,Local
O'Higgins,8,9,1,13,Deportes Iquique,2,2,2-2,Draw,Local
O'Higgins,9,10,0,13,Coquimbo Unido,0,2,0-2,Loss,Visita
O'Higgins,10,11,3,16,Universidad Católica,2,0,2-0,Win,Local
O'Higgins,11,12,3,19,Ñublense,1,0,1-0,Win,Visita
O'Higgins,12,13,0,19,Universidad de Chile,0,6,0-6,Loss,Visita
O'Higgins,13,14,3,22,Unión Española,1,0,1-0,Win,Local
O'Higgins,14,15,3,25,Everton,1,0,1-0,Win,Visita
O'Higgins,15,16,0,25,Huachipato,1,2,1-2,Loss,Visita
O'Higgins,16,17,1,26,Colo Colo,1,1,1-1,Draw,Local
O'Higgins,17,18,3,29,Unión La Calera,1,0,1-0,Win,Local
O'Higgins,18,19,1,30,Deportes La Serena,3,3,3-3,Draw,Visita
O'Higgins,19,20,3,33,Cobresal,1,0,1-0,Win,Local
O'Higgins,20,21,1,34,Deportes Limache,2,2,2-2,Draw,Visita
O'Higgins,21,22,3,37,Audax Italiano,3,2,3-2,Win,Local
O'Higgins,22,23,3,40,Palestino,2,1,2-1,Win,Visita
O'Higgins,23,24,3,43,Deportes Iquique,3,2,3-2,Win,Visita
O'Higgins,24,25,0,43,Coquimbo Unido,0,1,0-1,Loss,Local
O'Higgins,25,26,3,46,Universidad Católica,2,0,2-0,Win,Visita
O'Higgins,26,27,3,49,Ñublense,4,2,4-2,Win,Local
O'Higgins,27,28,0,49,Universidad de Chile,0,1,0-1,Loss,Local
O'Higgins,28,29,3,52,Unión Española,4,2,4-2,Win,Visita
Deportes La serena,1,16,0,0,Colo Colo,1,2,1-2,Loss,Visita
