date,price_mean,price_min,price_max,price_std,observations
1994-01-02,7.275794355140187,2.95,10.0,1.2627433723019057,107
1994-01-03,7.1673376285714285,2.95,10.0,1.1536263102205853,154
1994-01-04,7.196114608917196,2.95,10.0,1.1358452424114933,157
1994-01-05,7.170299097435897,2.95,10.0,1.2158189675826023,234
1994-01-06,7.201282001282051,2.95,10.0,1.222887611760937,234
1994-01-07,7.192417976229509,2.95,10.0,1.2201070351235659,244
1994-01-08,7.230181761212122,3.7,10.0,1.2551530166722469,165
1994-01-09,7.203276543829787,3.7,10.0,1.2001762185876619,235
1994-01-10,7.194892649356223,3.7,10.0,1.2063914172952344,233
1994-01-11,7.207974077155172,3.0,10.0,1.24312193017423,232
1994-01-12,7.241535024122808,3.7,10.0,1.2146618114963441,228
1995-01-01,7.195669584375,3.0,10.0,1.2756201202174895,224
1995-01-02,7.382787570796459,1.84,13.7,1.4176289144240373,226
1995-01-03,7.382731238325991,1.75,13.7,1.5177357169591206,227
1995-01-04,7.353102008979592,1.75,13.7,1.5410830717539634,245
1995-01-05,7.392827829508197,1.75,13.7,1.5514763216753624,244
1995-01-06,7.3789199564,1.75,13.7,1.533446917182698,250
1995-01-07,7.4053754537549406,1.75,13.7,1.526953971642499,253
1995-01-08,7.397119296296296,1.75,13.7,1.4688115395508976,243
1995-01-09,7.459999954545455,1.75,13.7,1.4419230342106777,253
1995-01-10,7.512172240074906,1.75,13.7,1.5165306336030413,267
1995-01-11,7.527216068498168,1.75,13.7,1.4892433903923674,273
1995-01-12,7.479347780072463,1.75,12.5,1.4092232207182105,276
1996-01-01,7.536823054512635,1.75,12.5,1.4414857415455253,277
1996-01-02,7.555401410583941,2.5,15.0,1.504584930807148,274
1996-01-03,7.549647836619718,1.2,15.0,1.5993779186768937,284
1996-01-04,7.567491118021201,1.2,15.0,1.5660773429376664,283
1996-01-05,7.545107093928571,1.2,15.0,1.5321477172667306,280
1996-01-06,7.549646591519434,1.2,15.0,1.567916302737513,283
1996-01-07,7.588136150179212,1.2,13.95,1.5905756877065294,279
1996-01-08,7.653813511016949,1.2,13.95,1.6072092402797789,236
1996-01-09,7.70277773076923,1.2,13.95,1.5991450060825636,234
1996-01-10,7.752380905194805,1.2,13.95,1.6164752109667508,231
1996-01-11,7.6904272910256415,1.2,13.95,1.6090745317627662,234
1996-01-12,7.736218426890757,1.2,13.95,1.6290635639868416,238
1997-01-01,7.806826020869565,1.4,13.95,1.6627472189580779,230
1997-01-02,8.202321352142857,3.75,34.950001,2.3851162265472605,280
1997-01-03,8.240966468401487,3.75,34.950001,2.5213408635041685,269
1997-01-04,8.241080052264808,3.75,34.950001,2.5066980414863758,287
1997-01-05,8.321591511411413,3.75,34.5,2.5850153650771794,333
1997-01-06,8.287983108403361,3.75,34.5,2.5485452817856014,357
1997-01-07,8.28298334281768,3.75,34.5,2.5267302272906127,362
1997-01-08,8.320677421951219,3.75,34.5,2.5034200265997653,369
1997-01-09,8.333462517451522,3.99,34.5,2.5000273292368593,361
1997-01-10,8.39512120619946,3.99,34.5,2.4755715127986497,371
1997-01-11,8.424203203571428,4.5,34.5,2.480958726526929,364
1997-01-12,8.454550319618528,4.5,34.5,2.473801932073086,367
1998-01-01,8.455205390958904,4.5,34.5,2.500143593896665,365
1998-01-02,8.492403232872928,4.5,36.5,2.6585042946020776,362
1998-01-03,8.495407527717392,4.5,36.5,2.6405031128122367,368
1998-01-04,8.493967748793565,4.5,34.5,2.587989730300106,373
1998-01-05,8.524227559349594,4.5,34.5,2.601475892963573,369
1998-01-06,8.505469091689008,4.5,34.5,2.6123484193790962,373
1998-01-07,8.533999924473683,4.5,34.5,2.60905515860792,380
1998-01-08,8.529600985638298,4.5,34.5,2.6192883018479782,376
1998-01-09,8.525268742473118,4.5,34.5,2.5126262989168757,372
1998-01-10,8.557903152419355,4.5,34.5,2.6459502825648467,372
1998-01-11,8.60997311689008,4.5,35.0,2.678219678648105,373
1998-01-12,8.660407533695652,4.25,37.0,2.7352085744564065,368
1999-01-01,8.690549376923078,4.25,37.0,2.7359585894729306,273
1999-01-02,8.688539867493112,4.25,37.0,2.6093722863910194,363
1999-01-03,8.673893489635853,4.25,37.0,2.6202678871418144,357
1999-01-04,8.70420449403409,4.75,38.0,2.5543774169144546,352
1999-01-05,8.752055508888889,4.8000002,38.0,2.5419567527710067,360
1999-01-06,8.810549404395603,4.8000002,38.0,2.5816150983617114,364
1999-01-07,8.796648301373626,4.8000002,38.0,2.5648741793209915,364
1999-01-08,8.879698577534246,4.8000002,38.0,2.5593368908911214,365
1999-01-09,8.869164383018868,4.8000002,38.0,2.6086860417206053,371
1999-01-10,8.913763703021978,4.8000002,38.0,2.6185968517027756,364
1999-01-11,8.9301666325,4.8000002,38.0,2.653109704581827,360
1999-01-12,8.93667564054054,4.8000002,38.0,2.461216692815496,370
2000-01-01,8.942896138251367,4.8000002,38.0,2.445287300169015,366
2000-01-02,8.906610132485875,4.8000002,38.0,2.429768490062191,354
2000-01-03,8.911937283190882,4.9499998,38.0,2.4163742024882686,351
2000-01-04,8.95840451994302,4.8000002,38.0,2.4177339570761216,351
2000-01-05,8.981911729705882,4.8000002,37.0,2.4164301583562713,340
2000-01-06,9.022361481049563,4.9499998,37.0,2.4141559848116767,343
2000-01-07,9.062057114285714,4.9499998,37.0,2.4023026982950753,350
2000-01-08,9.125857112,4.9499998,37.0,2.465111113574473,350
2000-01-09,9.15183902183908,4.9499998,37.0,2.4511726696118945,348
2000-01-10,9.183016699720671,4.9499998,37.0,2.4336029869973865,358
