date,value
1987,31495
1988,22509
1989,34877
1990,29551
1991,34939
1992,34753
1993,47945
1994,51003
1995,42388
1996,61229
1997,60286
1998,56334
1999,66855
2000,70216
2001,52568
2002,48751
2003,56962
2004,65091
2005,59269
2006,76951
2007,83531
2008,26018
2009,90018
2010,67538
2011,24302
2012,55641
2013,48375
2014,12549
2015,27586
2016,-5657
2017,33803
2018,-52548
